País,Expectativa_de_Vida,Educação,PIB,Estabilidade_Política
Reino Unido,0.88,0.99,0.91,1.10
Austrália,0.90,0.99,0.93,1.26
Canadá,0.90,0.98,0.94,1.24
Estados Unidos,0.87,0.98,0.97,1.18
Japão,0.93,0.93,0.90,1.20
França,0.89,0.97,0.85,1.04
Cingapura,0.88,0.87,0.83,1.41
Argentina,0.81,0.92,0.70,0.55
Uruguai,0.82,0.92,0.65,1.05
Cuba,0.75,0.90,0.40,0.07
Colômbia,0.77,0.75,0.69,0.50
Brasil,0.80,0.73,0.82,0.70
Paraguai,0.75,0.70,0.60,0.40
Egito,0.70,0.62,0.60,0.21
Nigéria,0.44,0.58,0.37,-1.36
Senegal,0.47,0.37,0.45,-0.68
Serra Leoa,0.23,0.33,0.27,-1.56
Angola,0.34,0.36,0.51,-1.98
Etiópia,0.31,0.35,0.32,-2.00
Moçambique,0.24,0.37,0.20,-3.00
China,0.80,0.98,0.95,1.09